type,season,rank,score,name,tag
md,1,1,3295,Flash Light,UYL8820RJ
md,1,2,3284,Light Bulb,GU2YR209R
md,1,3,3282,Mohamed Light,G9YV9GR8R
md,1,4,3263,CAL Pedro™️,RJ88Y8U08
md,1,5,3258,Ryley,R90PRV0PY
md,1,6,3249,Spark,C0GQ89UG2
md,1,7,3221,Pedro™️,290VGG28
md,1,8,3213,OS Nico,L009UCJ2Q
md,1,9,3211,Asaf,RUQ0JU2P
md,1,10,3209,Distrughy 毀滅者,2YLRGVVC
md,1,11,3204,Tytoń㴀鿄,PPCJJV88Q
md,1,12,3202,xAlee ✌️,VP9GJYQ2
md,1,13,3161,Takuma,2UJ2QQJJP
md,1,14,3149,ATN Schwarzen,PLCVY9
md,1,15,3147,CAL Vitor75,8LJ92G8UG
md,1,16,3135,PANDORA UC,88RUCCQLC
md,1,17,3134,Ian77,Y9R22RQ2
md,1,18,3124,airsurfer,P8VUY20C
md,1,19,3115,Trainer Adnan,CJ9U82R82
md,1,20,3115,ByeBye☔️,Y9QVL2U9R
md,1,21,3111,Pedro❤️Gabi,C2UVLQ28J
md,1,22,3106,FurkanArabacıGA,989P0PCCR
md,1,23,3105,CAL Lucas,9G28ULYR
md,1,24,3096,Kitassyu@チェックイン,P8RLY0V9
md,1,25,3088,✖HuntER™,P8LRG9UP
md,1,26,3077,ライキジョーンズ,98Q8LPQ9
md,1,27,3077,HERO,22L8UUV0Q
md,1,28,3075,ABASS,GVUL0JRYY
md,1,29,3073,Coco,2VGG29RJ2
md,1,30,3066,焼き鳥,2Y8GL0V2
md,1,31,3061,Paulo™,C8QJG2VG
md,1,32,3055,✨RW❤️12345,CRCRCVY0V
md,1,33,3047,SK xopxsam,2LQ2YP98
md,1,34,3047,CamaGod,CGLQY2VQV
md,1,35,3040,droy,UG0J8RGU9
md,1,36,3038,Arpin,2J8GGGGY9
md,1,37,3036,ABASS,RVP2VJVC
md,1,38,3034,アッバス,CJC8YLUVP
md,1,39,3033,唯一真神,G8GUQU80Y
md,1,40,3031,CAL LordSeb:],PL8YCR9UJ
md,1,41,3030,Betfas,8002JGLYC
md,1,42,3030,CAL Harold,2JU0JRLGR
md,1,43,3022,FS｜Endo,2L2P9GC2Y
md,1,44,3022,⚡️El Tanco⚡️,8L28PU2QQ
md,1,45,3021,clem,YPRL8V02Y
md,1,46,3021,LG❤️HULK,L0YC0VL9C
md,1,47,3017,King Andrew ✯,2RQ80VUC8
md,1,48,3012,Ash-B,JRU8UCPP
md,1,49,3011,たぁ,LP8PLVJCU
md,1,50,3008,[VTR] ケヴィン RA,RGQJG2PY
md,1,51,3007,Ahmed Beram,UYQYLG
md,1,52,3006,Yusan,CY0JY2QY
md,1,53,3004,山下美月,PCUP9YLVG
md,1,54,3002,たぁ❄️じーざす,82PPJQYVP
md,1,55,3002,kerem,2RVPP0VCG
md,1,56,3002,fly,QV8C2990L
md,1,57,2990,Nova Lciop,C8PCCURPJ
md,1,58,2988,Aka Calliope✨,L2YGQQ8GY
md,1,59,2987,RAD,8QRCJQ9Y
md,1,60,2986,sky,8QGPRYJL2
md,1,61,2981,CR7,980RC809
md,1,62,2980,XOAliertz,2YY80CPJ2
md,1,63,2977,Eragon,9LGYYV9G
md,1,64,2975,むぎったん,2CLV2RP0
md,1,65,2972,TW Fabrício™,28Q88VJQ0
md,1,66,2970,かまきり,LLV8UYUJC
md,1,67,2959,DiegoB,2YGQVGQ9
md,1,68,2958,Steeef✨,9LVP2RCLL
md,1,69,2957,40K Feяnan,99R0JJ0V
md,1,70,2955,Busfahrer Dirk,PYYLQQ80R
md,1,71,2954,StarRain夜✨️,C8UUJ80C
md,1,72,2949,まこつめし,YUU8RCCRQ
md,1,73,2947,Clown,GPPYR9JYR
md,1,74,2945,40K Tekuno™,8GQGG0LY8
