type,season,rank,score,name,tag
mt,5,1,4047,FJ21,PU9RCVYUG
mt,5,2,4020,014,UQVQY209P
mt,5,3,4016,三宅ロース_YT,PUVVP8L80
mt,5,4,4007,coolboy2000,98QCG20
mt,5,5,4002,blddlb,8GLCPJVRY
mt,5,6,3999,ポグライダー,2JCVCL02G
mt,5,7,3989,へぶん,2CLYYR9CQ
mt,5,8,3987,Advit,QPC9Q0902
mt,5,9,3986,Mini FJ21,Y0Y2UY0CJ
mt,5,10,3979,JuniorDJ331,GQPPY22L8
mt,5,11,3964,Code: RT,8CLP9GR0
mt,5,12,3943,Aster,PPLV0CQ0V
mt,5,13,3942,Mystic Mac,LY9CPYGYL
mt,5,14,3941,▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,UPGGURJY0
mt,5,15,3936,mfmfgaupon,2LR8R992L
mt,5,16,3934,りょう,8PJ8Q092Q
mt,5,17,3929,⚠Artur⚠,99YRQJ8G
mt,5,18,3927,hicoar,9JLYRR2R
mt,5,19,3924,Shadow Magician,YUYCUQRC
mt,5,20,3921,暁山瑞希,V9CP2VV28
mt,5,21,3920,KF VeniVidiVici,PR9RRQRG9
mt,5,22,3917,✨KF✨ Judass,PVQLQJR
mt,5,23,3915,Joseph.o.,LPJJ8JCY
mt,5,24,3915,王翦,8C9RP92V0
mt,5,25,3911,ThA1,JPUU00880
mt,5,26,3911,냥뇽녕냥 사랑해❤️,80G8LLVU8
mt,5,27,3907,イヤッホー,98URGPQJQ
mt,5,28,3907,chincr,20VRPUP902
mt,5,29,3907,ケイ,VJQ2LYVJG
mt,5,30,3905,まさぼーz,CJJRYR8LP
mt,5,31,3905,"RSA❤️""Richi$""",VGYRL8P8V
mt,5,32,3905,뿱뛇띍쮫뀛씛,V9Q982RRQ
mt,5,33,3905,AljeAC ᴮˢᴷ,UQR89U0UG
mt,5,34,3901,Oriel,2YCYQ9GUR
mt,5,35,3891,TTk: OZKARMERGE,9Y9UCY2P0
mt,5,36,3888,KF Svenifishy,2R0CUCC00
mt,5,37,3887,霜竹月影,C0UUQGU9P
mt,5,38,3886,Alangav SLB,82R8URU9G
mt,5,39,3884,Fire_Heart,8P2QU2L2
mt,5,40,3882,Kou-m,Y2VJ2UGUC
mt,5,41,3881,Luispaghetty,28PYRGUYC
mt,5,42,3880,Liverpool ❤️,J8JPVJCQ
