type,season,rank,score,name,tag
mt,1,1,4394,Rune,22V0PLRU
mt,1,2,4385,Abraham Lincoln,Y8RL90U0
mt,1,3,4380,Kさく,LJYLRYQ99
mt,1,4,4345,냥뇽녕냥 사랑해❤️,80G8LLVU8
mt,1,5,4319,blddlb,8GLCPJVRY
mt,1,6,4314,UltimateDevil,URQG2PQC2
mt,1,7,4313,Luks,2PPLJ2GY9
mt,1,8,4305,Aster,PPLV0CQ0V
mt,1,9,4288,Slamdunk,22YJ9YQY
mt,1,10,4286,H A S A N,Y29CQV0L
mt,1,11,4280,ルンバ,YCCYCQJC
mt,1,12,4279,Lapras,U8QGU00CP
mt,1,13,4272,AaAaAaAa,LQQ2JYQR9
mt,1,14,4269,Alangav SLB,82R8URU9G
mt,1,15,4267,$$$,8QGQLP8VQ
mt,1,16,4264, Juan,R2P9Q8C
mt,1,17,4257,FJ21,PU9RCVYUG
mt,1,18,4256,てるみみ,UC20VR09P
mt,1,19,4254,しゅりちん,9J28VR20C
mt,1,20,4251,baxterpluh.,9VQR9RYQL
mt,1,21,4249,均康醋,8VPJ2V0RC
mt,1,22,4249,郑ㅣCJH❦,8YVY98G8Y
mt,1,23,4247,まさぼーz,CJJRYR8LP
mt,1,24,4245,Kenny,8GCCCQQJ
mt,1,25,4244,Mystic Mac,LY9CPYGYL
mt,1,26,4242,romyツ,2GJ9JUVUV
mt,1,27,4236,smily,PGGY8U9VY
mt,1,28,4235,クラり,9VLYC0V98
mt,1,29,4235,Kou-m,Y2VJ2UGUC
mt,1,30,4235,ketchup,L02GQQ8
mt,1,31,4233,ちんちら,UPGGURJY0
mt,1,32,4233,mfmfgaupon,2LR8R992L
mt,1,33,4229,chrabonszcz,PV8QGQ9P8
mt,1,34,4227,Sniper,YQ9VP298L
mt,1,35,4226,・・・,U209LQ0J9
mt,1,36,4222,せいや,Y29PUQGG8
mt,1,37,4221,YT PAİN CR,PGQJQ8GRJ
mt,1,38,4221,Wxlfz,98QVRQPPQ
mt,1,39,4220,sorgrak,9P28UVLQU
mt,1,40,4219,damn bro,U2R0U9GY2
mt,1,41,4218,TrippleM8,CCRVL8P8
mt,1,42,4216,ゴレマイト,9PYRCGPQG
mt,1,43,4215,@NGushu@NG,8LURLRRQL
mt,1,44,4215,Le_Ge_Nd_A,2P002RULG
mt,1,45,4215,霜竹月影,C0UUQGU9P
mt,1,46,4212,hyeon,CUUP9GRV9
mt,1,47,4210,ぱやと,PGQRLPJJY
mt,1,48,4210,AMJ✔️,V0LULRLL
mt,1,49,4210,AljeAC,UQR89U0UG
mt,1,50,4209,고양이wars,8G9PGUQY9
mt,1,51,4207,LemonBar,V8UVJRGRV
mt,1,52,4204,DC اlا Δrthur,PRYV09208
mt,1,53,4203,numajun,9JQVQ8098
mt,1,54,4203,key,VJQ2LYVJG
mt,1,55,4203,しょう,P2CU8G2V0
mt,1,56,4202,ひゅうと,VLGL0QY0L
mt,1,57,4201,Kirito,PY2JQR0VV
mt,1,58,4201,「Ancestor」,GGY9U289
mt,1,59,4200,AJæger獵人,GJPP2LU
mt,1,60,4200,TikTokKublai.MT,8YULQQJU
mt,1,61,4198,維薩利亞,2YUVGYP22
mt,1,62,4194,うこと,CVUUQR0PQ
mt,1,63,4193,ALp™✨,22CP88PUU
mt,1,64,4192,Levin,2YCYQ9GUR
mt,1,65,4189,Jesus,9LV8QQRVC
mt,1,66,4187,鼻の慶次,822QRV0C
mt,1,67,4187,ValDuf,JRVVQ228C
mt,1,68,4185,Happy,C8GYGLU
mt,1,69,4185,Deification,CVPQC99L
mt,1,70,4184,survivor,C9GRQCJUC
mt,1,71,4183,ポグライダー,2JCVCL02G
mt,1,72,4183,toka_cr ♡,CR88RR8P
mt,1,73,4182,三宅ロース_YT,PUVVP8L80
mt,1,74,4180,Pietroll,Y8UQU2UR
mt,1,75,4178,Butter™,JYGJYGG9
mt,1,76,4178,いも,8VQ0GJP2
mt,1,77,4177,EDWINC,UQQJ2QLR8
mt,1,78,4177,こうちゃ,9UJQ89U0
mt,1,79,4174,전설카드,2RYQ2LJ82
mt,1,80,4174,VanDerLuigi❤️RH,8G0Q80GUC
mt,1,81,4171,JohannesBot,YQYJV8YJL
mt,1,82,4171,안도재,88V9VQYGQ
mt,1,83,4171,Gratis Kecks,8Q8J2C2CQ
mt,1,84,4171,じいや,2PCY8PLQ8
mt,1,85,4169,skeleton1elixir,2VVPUVL9V
mt,1,86,4169,항상끝사랑처럼,8CRULLVP8
mt,1,87,4168,"RSA❤️""Richi$""",VGYRL8P8V
mt,1,88,4168,しーしーのおかず I けん,8JGGJUQG9
mt,1,89,4167,Deftones,JU9U2RUP9
mt,1,90,4167,JEB O ZLEW,8QL8LVC9
mt,1,91,4166,twin 2,P9JQRUCQ0
mt,1,92,4166,三宅建二郎,CJ2RPLPYV
mt,1,93,4166,Shadow,2PJGYURJ
mt,1,94,4165,Sir Jefferson,P8PQ8RPV
mt,1,95,4165,netovb,80YLV8QR
mt,1,96,4164,Ahama,8L2RU88LG
mt,1,97,4164,NBA,U9RQLJL0J
mt,1,98,4163,VIKING,2YJ889LRY
mt,1,99,4162,egreenn,RQY8JV820
mt,1,100,4161,Suqmafat,929LCQ2P
mt,1,101,4161,ItsMythic,8C2CLGYU
mt,1,102,4160,come at me bro!,292JCJ20R
mt,1,103,4159,..,V9Q982RRQ
mt,1,104,4155,mycos,RQ290JRUV
mt,1,105,4155,heize,8Y2RU0L9Y
mt,1,106,4154,# K O R D E R S,80JCGVJJP
mt,1,107,4152,ディガ山,VJJ29P2C
mt,1,108,4151,LacedupJetski,2U2YUL82
mt,1,109,4151,<c7>exspeedy,922C2Q0JU
mt,1,110,4151,大原,9RJGUYC0
mt,1,111,4150,Léon™,PUJYPJQC
mt,1,112,4150,2>Furkan,LYJ0JYY28
mt,1,113,4150,Alexander_T,2Q0Q202JU
mt,1,114,4149,jrat,PPVQGPLU
mt,1,115,4148,royce,2QPGR08RQ
mt,1,116,4145,こう,YJLC8YVPY
mt,1,117,4145,かーくん,9JRPYLVL
mt,1,118,4142,Patas de pollo,CY8RJY02C
mt,1,119,4138,ReTaik,8CLP9GR0
mt,1,120,4138,disznoful,8PVGPYLG8
mt,1,121,4138,공유,2RJGLGQJV
mt,1,122,4137,joseaugustow,J098G2UP9
mt,1,123,4137,TNT,2LP0099C0
mt,1,124,4136,Love aulakh,28Q0J8P9
mt,1,125,4134,たっつぁん222,P0R82YGU
mt,1,126,4134,rufus,JYRV8Y8V0
mt,1,127,4134,Raxolat,2PU22YG9
mt,1,128,4129,朔らんぼ,V9CP2VV28
mt,1,129,4129,싼체르,8RC0V8Q0
mt,1,130,4129,sniper,GR02QVQJL
mt,1,131,4129,神に与えられた男前｜さめ,QY29P2CQ
mt,1,132,4128,POSTIVEMENTAL,JVJGQLYRJ
mt,1,133,4127,ViRTüöZ,2P8J2GV02
mt,1,134,4127,神の使者,P0QLR0C9G
mt,1,135,4127,serenity,G8YGRLUV
mt,1,136,4125,不可或缺的空氣,YQCUUJP8
mt,1,137,4125,ハロー,9CCL0QPRR
mt,1,138,4124,coolboy2000,98QCG20
mt,1,139,4123,보우와우,LY2UJCGPC
mt,1,140,4122,PiskesS,L902GYVVP
mt,1,141,4122,ＳＣＨ,9RCGGLY8J
mt,1,142,4121,Mini FJ21,Y0Y2UY0CJ
mt,1,143,4120,psycho,GCCCPP2LC
mt,1,144,4120,ApexZulu,2QUY2U8R
mt,1,145,4119,王翦,8C9RP92V0
mt,1,146,4118,DerEndgegner™️,9QPPY9VJV
mt,1,147,4118,XanMaster,JJQ0CRJJ2
mt,1,148,4117,456er,VJG90JLR
mt,1,149,4117,KieronT 04,PCV8J8P2
mt,1,150,4117,Mental,P0YRQGURL
