type,season,rank,score,name,tag
2v2,2,1,3896,Samuel Bassotto,PCJ29YJJ
2v2,2,2,3896,YT PedroTm CR,290VGG28
2v2,2,3,3836,Ryley,R90PRV0PY
2v2,2,4,3836,Mohamed Light,G9YV9GR8R
2v2,2,5,3772,Asaf✨白影,RUQ0JU2P
2v2,2,6,3748,Kotori❤️安之之,LRYQU2V
2v2,2,7,3725,YORU愛,2Q2QCYLPR
2v2,2,8,3724,Dess,UJRR9RJUL
2v2,2,9,3708,ICE,8J8JG0G0
2v2,2,10,3703,FILIPPO✨Colin,JQPLJ9GRP
2v2,2,11,3688,Coco,2VGG29RJ2
2v2,2,12,3688,Ryley,C0V0UQ9UY
2v2,2,13,3686,Light Work✨白影无踪,U2LYQJQVY
2v2,2,14,3683,Vega,2JUGJ9JVP
2v2,2,15,3675,ライキジョーンズ,98Q8LPQ9
2v2,2,16,3675,むぎったん,2CLV2RP0
2v2,2,17,3673,あいみょん,U8URGY0G
2v2,2,18,3673,Fforte,2QC0CLPVG
2v2,2,19,3665,SKC SandBox✨航之輔,Y022GRCJQ
2v2,2,20,3665,Polaris✨DEE,U8RYGC8GU
2v2,2,21,3663,Kaktusroyale,98JGRYGU
2v2,2,22,3663,fgab,C9LL8LRJ9
2v2,2,23,3658,EA AgonyKing,RGLQ0Q0RP
2v2,2,24,3656,kodigogg,22Q8LLU8J
2v2,2,25,3656,khazardy✨安之,RVCQ2CQGJ
2v2,2,26,3656,Friend✨安之的大宝贝,CVR2G2LCJ
2v2,2,27,3656,Rocket,LUJR90C2
2v2,2,28,3655,Victor｜ZTR05蜜桃猫,V802UCPJP
2v2,2,29,3637,WL Varitone,9LJLUCQQV
2v2,2,30,3636,✨️❤️ LK ❤️✨️,9C9Y0R0G
2v2,2,31,3628,☆Hasiel~19,UGLR0P2
2v2,2,32,3628,TL DiegoB,2YGQVGQ9
2v2,2,33,3627,ᵀᵒᵒᴳᵒᵒᵈ,RP2QGV8QL
2v2,2,34,3627,Jirachi,PPLQJYQ8
2v2,2,35,3623,Butterfly✨白影,Q99GRJG2G
2v2,2,36,3623,神气猪的大宝贝～夜笙歌✨,CUG8Y9PVV
2v2,2,37,3615,TH⚡️Victor飞行员,JRLVPG88L
2v2,2,38,3612,Tiny Jason,2U9UPQL0C
2v2,2,39,3607,Surgical Goblin,92L9R2JG
2v2,2,40,3600,SK Faust,R0UC9VR2V
2v2,2,41,3599,Kakashi,8JC9R8V2
2v2,2,42,3596,Alee✨安之,VP9GJYQ2
2v2,2,43,3596,飛べ丨FRAM,9RCU0V0Y
2v2,2,44,3592,mizuki,9LYLLY80J
2v2,2,45,3590,Ijihu❤️Swaggy,20PRCUJ0LR
2v2,2,46,3580,小猫咪～Mochi✨,YY0JJRCQL
2v2,2,47,3577,ぼんじりくん,8C8LR9V9Q
2v2,2,48,3577,HERO,22L8UUV0Q
2v2,2,49,3564,Nictschi,CJ9VGR88
2v2,2,50,3564,Antique✨,80C09G8G
2v2,2,51,3557,airsurfer,P8VUY20C
2v2,2,52,3557,Razzer,80RCRR8G
2v2,2,53,3553,りきちゃん,UPC0LUU2G
2v2,2,54,3549,WL✨xNico飛べ,CCP9G8JYL
2v2,2,55,3546,Noah❤️Yuki,8922R9QQ0
2v2,2,56,3545,kipe,YQVCQVCRQ
2v2,2,57,3544,Distrughy 毀滅者,2YLRGVVC
2v2,2,58,3544,T3kT0n1k☬❦ッ⭐️,2JUPU0LPV
2v2,2,59,3543,Piero™,8YCJJU28C
2v2,2,60,3542,Agony X Rabbino,RY02G02J8
2v2,2,61,3541,lionel messi 10,PCRRR2VV
2v2,2,62,3541,CHN｜Jason✨,UUUULQU0Q
2v2,2,63,3541,✨Leave❤️Bait✨,UJ0GPRL0
2v2,2,64,3539,Mmad Shadow CR✨,Y9YGCLPYJ
2v2,2,65,3538,Tsubaki^. .^੭,VG92Y8GU9
2v2,2,66,3538,昨日之约丨纳西妲❤️莫娜＆安柏,JGPR0PG8P
2v2,2,67,3537,King Andy,2LGRQGR9Q
2v2,2,68,3537,SpicyCheetos,9YPP8PQVV
2v2,2,69,3536,Flash Light,UYL8820RJ
2v2,2,70,3535,Mini Polaris,UCLVQR22L
2v2,2,71,3534,PouPou☔️,JPPQJR02
2v2,2,72,3534,Rookie❤️CR,PRU2GYPJG
2v2,2,73,3532,⭐️Leo❤️Val⭐️,RV99YLRCQ
2v2,2,74,3532,WR I Clisman™✨,VUJ9U8GV8
2v2,2,75,3531,FOM ❥Potani❦,PQRJQPVLU
2v2,2,76,3529,APO,9QPYJ20Y
2v2,2,77,3529,Dominik❤️Akaza,QJ99JYYVC
2v2,2,78,3529,wow,VC99RVJJ
2v2,2,79,3528,siLent,JLLYVC
2v2,2,80,3528,Light Bulb,GU2YR209R
2v2,2,81,3528,Mist,U9RY9GV0R
2v2,2,82,3526,Zodiac™ 是传奇,YJYJYVGLR
2v2,2,83,3525,ハンター ☄️勝,V8UQG8P28
2v2,2,84,3525,藍鯨 ︱ Ule✨️™,90PV8RJGV
2v2,2,85,3524,TommyIsWashed,9V2JJP08J
2v2,2,86,3524,DrakeTapir,9QLJ82VJV
2v2,2,87,3524,Kal’tsit,G0RUC9PGR
2v2,2,88,3523,Bee,8Q29Y9PYG
2v2,2,89,3523,trash,CUV2V0LGC
2v2,2,90,3521,WDN | Gιυλιο,RUG228LJ
2v2,2,91,3521,Spoty04IsBack❤,CUGQJY
2v2,2,92,3519,WL✨Kon,9QULCJPL9
2v2,2,93,3517,☯️kidkid,2Y2GPJQRR
2v2,2,94,3514,Pixorate,GUPPRCQ
