season_id,season_code,season_index,rank,player_name,player_tag,score,player_level,clan_name,clan_tag
103,2023-04,67,67,DiegoB,2YGQVGQ9,2959,50,,
103,2023-04,68,68,Steeef✨,9LVP2RCLL,2958,50,Twitter,QUV9JUUL
103,2023-04,69,69,40K Feяnan,99R0JJ0V,2957,50,VirtualTeam,8J0PUUG9
103,2023-04,70,70,Busfahrer Dirk,PYYLQQ80R,2955,50,SK Free2Play,YUGJCLGU
103,2023-04,71,71,StarRain夜✨️,C8UUJ80C,2954,50,사이좋은삼형제,GJY90JG9
103,2023-04,72,72,まこつめし,YUU8RCCRQ,2949,50,,
103,2023-04,73,73,Clown,GPPYR9JYR,2947,50,,
103,2023-04,74,74,40K Tekuno™,8GQGG0LY8,2945,50,Vengeance,PQRUQJ
103,2023-04,75,75,likeáboss,JRCYPLY22,2945,42,Indo Celestial,LJ08CC
103,2023-04,76,76,LE⚡Alonzo,9G8UL8JUL,2943,50,GUERREIROS PT,L2U9PG98
103,2023-04,77,77,Csv⭐️Soudy⭐️,290UQY8C,2942,50,☆50 STARS☆,QQRVV22R
103,2023-04,78,78,CHN I maksteror,UU0Y99VGC,2941,44,NoA,Q9QPPGGG
103,2023-04,79,79,RAIN,VRQ202R9,2941,50,天の川銀河,28RR9L0Y
103,2023-04,80,80,Hajime,GVGGGPJP,2941,50,change white,2G9CUJ29
103,2023-04,81,81,Cheesecake,QVVP2VQ2V,2939,50,,
103,2023-04,82,82,Over かずと❦,20GJJPU9,2938,50,RoyalFlush II,CPVV9QJ
103,2023-04,83,83,⚡️King Tyran⚡️,2LJ2PLQVP,2938,50,Always Baked,PJY9PP98
103,2023-04,84,84,Kimchi,RU9VQV9C,2937,50,Lily Kimaris,QCJ0Q2Q0
103,2023-04,85,85,Boss,PPV2JUUGU,2936,50,,
103,2023-04,86,86,くちーりぼーん,VQJ08GGR,2933,50,Divine Saga,PYGQQC2P
103,2023-04,87,87,Nivea,JQYQQ9RVP,2933,40,up,GV0YLYGV
103,2023-04,88,88,Mìnì ìbX,Q8QVVY9PV,2933,47,Veterans™️,GY2LPCQQ
103,2023-04,89,89,JJK622✨,2YVU0VQPG,2933,50,Nice Strategy,VQCQQJP
103,2023-04,90,90,Boeufmac,9PJ8U8RY,2930,50,March Madness,Q2P2YJR0
103,2023-04,91,91,LYZ♥️logbait✨,JUC89PRCY,2929,49,流體力學,QCRY22P8
103,2023-04,92,92,ARIMURA,2RJLY2UJR,2925,50,DH PANDORA P4,GJG9QRJP
103,2023-04,93,93,过度解读,YYR2RV0Y,2923,50,不打啦,QV0C28QV
103,2023-04,94,94,Lens✨,C00CRGG2P,2921,40,THE CONQUEROR$,LVV2RLY9
103,2023-04,95,95,Itachi,GGG0LQLG,2921,40,⚡️SD Royal⚡️,8YQCGGPY
103,2023-04,96,96,世界は謎で出来ている,PLYPCY8JC,2919,50,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,Q0GJCCJV
103,2023-04,97,97,DarkAngel⭐️,2V92C2U,2918,50,,
103,2023-04,98,98,Perry❤PNL,Q0C8LC8,2917,50,Dame de Trêfle,YGP9P2Y0
