type,season,rank,score,name,tag
m2,2,117,2696,Feliixzz,8Q992GC00
m2,2,118,2695,ibx the legend,20GYYJQLL2
m2,2,119,2695,Surgical Goblin,92L9R2JG
m2,2,120,2693,Lim l Endo,2L2P9GC2Y
m2,2,121,2688,Ian77,Y9R22RQ2
m2,2,122,2688,페카버프좀,G2JJYVRVU
m2,2,123,2685,奶茶神のRW❄️坤✨瓜呱,CRCRCVY0V
m2,2,124,2685,AleeKv,JGUR2PYG
m2,2,125,2685,八哭｜Furina❤️紫棋,C2RL0PYLV
m2,2,126,2683,Boss,PPV2JUUGU
m2,2,127,2681,MRN MOON✨KUN,8022RY8YU
m2,2,128,2681,ᴜᴘʜ ɪ ✨ᴍᴇɢᴀꜱ ᴋ✨,UJ9PJV8YL
m2,2,129,2677,有血性的 DooMee,8JQ8URUPR
m2,2,130,2676,AndrewChiquito,20RGYU0YV2
m2,2,131,2674,SergioRamos:),P2U9G2J
m2,2,132,2673,L ✨,JR029VYG9
m2,2,133,2673,2026년도화이팅,CC9VUCLV
m2,2,134,2671,fluffypotato99,GLJURPRV
m2,2,135,2671,THENUMBERJUAN,PCJL80VC
m2,2,136,2671,YT ; Fabiann CR,90GYYQG9U
m2,2,137,2670,⚡Mroowa⚡,YQPUVLR98
m2,2,138,2669,Sosaa✨shiimy’宙斯,UJU9UUJLC
m2,2,139,2669,zaph x,2G0JP98QR
m2,2,140,2669,Aphrodite✨八哭,JVP8UY0R8
m2,2,141,2669,Get Wrecked,JJCJR2P
m2,2,142,2668,STRANGEHOPE,208JPV9U08
m2,2,143,2665,funny✨️,9VCGPU9U2
m2,2,144,2664,这世界赔不起也配不上所有真情,20YCYPPPLJ
m2,2,145,2664,Käfer Hubi,R0UC9VR2V
m2,2,146,2664,Ash❤️win,2GLJL2GRV
m2,2,147,2664,$4L3X$,PG2YU8U
m2,2,148,2662,ＣＡＴＳ ＬＯＶＥＲ™️,9CJ9QQG0
m2,2,149,2662,Yusan,CY0JY2QY
m2,2,150,2661,YT Fabiann CR,JPLP0L0Y
m2,2,151,2660,iSwipe✨,V2C8CYPVL
