type,season,rank,score,name,tag
mt,2,1,4336,seuq,80PJ9QJJ0
mt,2,2,4299,Lakai,Q2LPJ82C
mt,2,3,4247,<c5>꧁JD I Phil꧂,8Q0UQ080J
mt,2,4,4237,NikiMinaz,RG2PUYLQR
mt,2,5,4230,PAİN CR,PGQJQ8GRJ
mt,2,6,4217,へぶん,2CLYYR9CQ
mt,2,7,4217,Alex,29GL98VC
mt,2,8,4208,Netak,29GLC8JRV
mt,2,9,4205,#M.Vicii#,PR9RRQRG9
mt,2,10,4200,냥뇽녕냥 사랑해❤️,80G8LLVU8
mt,2,11,4187,Infinity,Y0QJUG02
mt,2,12,4178,Shadi,JYUQ9JCCV
mt,2,13,4172,WestbrookTV,2JJ228G9P
mt,2,14,4167,<c9>Darth Vader,VPYU02CPV
mt,2,15,4159,Alangav SLB,82R8URU9G
mt,2,16,4156,♥️Jami♥️,G0RRR8JJ
mt,2,17,4156,Mangry,YVCRYC9G
mt,2,18,4154,Luckylamb,8UGP9QY9
mt,2,19,4153,⚡️VeniVidiVici⚡,PYYR0VLGJ
mt,2,20,4150,Oricanboy™,P2002R9R
mt,2,21,4148,archie1up,90VRG9JV
mt,2,22,4147,agzi,8UGC9RCYU
mt,2,23,4146,TikTokKublai.MT,8YULQQJU
mt,2,24,4142,medschool,U8L9UQJGY
mt,2,25,4132,Mr. Children,8CJYG9YPC
mt,2,26,4127,Acd/Phil,P9G8PJ0GV
mt,2,27,4126,ちんちら,UPGGURJY0
mt,2,28,4125,Einsparen,RR8QPQQLU
mt,2,29,4125,Severus Snape,8Y8CV9PGP
mt,2,30,4124,Ilias,2CJ80QYRC
mt,2,31,4123,Juice,Y8UL2YCC
mt,2,32,4122,#DidicoAbensoe,2LJ0YL2PR
mt,2,33,4122,Megalodon,L8LJPUCC
mt,2,34,4118,EDWINC,UQQJ2QLR8
mt,2,35,4118,djdk,UP0QRG88
mt,2,36,4118,Sully,PQ9RVYVJG
mt,2,37,4116,Abraham Lincoln,Y8RL90U0
mt,2,38,4111,とし,L9LPJ0J
mt,2,39,4109,Matthew,YYP90PG0J
mt,2,40,4108,Foxxell,P02LCPCJR
mt,2,41,4106,Eduardo,8U28JPQ8J
mt,2,42,4106,TJ 178,P0UYCY0
mt,2,43,4106,Ricky Royale YT,VLPLUVC
mt,2,44,4105,a1pyroman,R2J0Q8YQ2
mt,2,45,4105,성민쓰,22G0PRJ9Q
mt,2,46,4104,sk1per,8JV0PUR8V
mt,2,47,4104,J°$πU∆,GVPJCLCL2
mt,2,48,4103,OrteGay,9R2U200C
mt,2,49,4103,霜竹月影,C0UUQGU9P
mt,2,50,4102,Bboss,VPL0LGULC
mt,2,51,4102,Tammy,90QJC9C0
mt,2,52,4101,Gökay,UVVYUVQRL
mt,2,53,4100,mitchichi,PLCRYQQL
mt,2,54,4099,<c2>✌️ALI-21-✌️,Y2YLGCLP
mt,2,55,4099,Antonio Jr.,99LPP8UUJ
mt,2,56,4098,Boomchikawahwah,9GRCG2P02
mt,2,57,4097,AliJb9,8JYRV2GV
mt,2,58,4097,KiaroChePerdi,YGLYQJLG
mt,2,59,4096,chels,RLG08RVU
mt,2,60,4096,Baraa,9LJCU9CJ
mt,2,61,4094,# K O R D E R S,80JCGVJJP
mt,2,62,4094,Mystic Mac,LY9CPYGYL
mt,2,63,4093,Alan07,P2PC8L0J8
mt,2,64,4092,RoboWitch,902CL0U2
mt,2,65,4092,Gilbertogr,JR2GLJCL0
mt,2,66,4091,YungJet,LP909922
mt,2,67,4091,~Akronis™,PJCR92QP
mt,2,68,4086,無敵,GU8GYPPYJ
mt,2,69,4086,9Till5,2PU8UYLLQ
mt,2,70,4085,Franchesco77,Y8PPYY08
mt,2,71,4084,Ahmad. Abu musa,V8RGCGCQ
mt,2,72,4084,Playstation 6,99J0JCGJ8
mt,2,73,4084,Kさく,LJYLRYQ99
mt,2,74,4084,rico,89G8GGC9U
mt,2,75,4084,m7moudz,8YQLULGQQ
mt,2,76,4084,_Aqua ™ Legend_,2RJRRVJCC
mt,2,77,4083,carasco antoine,2VGJCVCQG
mt,2,78,4083,.!همتارو!.,22QYRUP8Q
mt,2,79,4082,lemonTree68,LLV0QRY9G
mt,2,80,4082,りきちゃん✨️航之輔,P9Y9U20YP
mt,2,81,4082,Na Béo,LLC2Y0L0
mt,2,82,4082,reemv5,2YPJQPGQ2
mt,2,83,4081,otto,YYCQRGQ8V
mt,2,84,4081,devilorange,9VU2VGLCR
mt,2,85,4080,KieronT 04,PCV8J8P2
mt,2,86,4080,kevin,C0CYQGURU
mt,2,87,4078,ZaZa___12,99PJP8LU
mt,2,88,4076,curry,9Q99V2QQC
mt,2,89,4076,Genetyx316,8CVR9JRL
mt,2,90,4075,xFrancisco7x,2JRLCPLRV
mt,2,91,4075,@95ab,8Y9L8JLVQ
mt,2,92,4074,esthefano,R08LU2GVU
mt,2,93,4074,mazooretion,29URGY82
mt,2,94,4073,Shark_JmD,2P2RP29CR
mt,2,95,4073,mata,8PR2GG8PU
mt,2,96,4072,Matt Stew,8GUPCC0P
mt,2,97,4071,いも,8VQ0GJP2
mt,2,98,4070,金太郎,LUL09V2YV
mt,2,99,4070,Toni,2R0CGCQV
mt,2,100,4069,Lua™,J890VJ09
mt,2,101,4068,pink,PL0JRUL
mt,2,102,4067,Rubber-Ducky,2VJYVLYC
mt,2,103,4066,Jendrusss,20J8L288R
mt,2,104,4065,クラッシュプレイヤー,8Q8JGRYC
