type,season,rank,score,name,tag
mt,4,1,4147,へぶん,2CLYYR9CQ
mt,4,2,4125,Mini FJ21,Y0Y2UY0CJ
mt,4,3,4110,Skyle✨绿皮猪的小小窝,8PU0CQ2J2
mt,4,4,4105,ぱやと,PGQRLPJJY
mt,4,5,4100,▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓,UPGGURJY0
mt,4,6,4100,ルンバ,YCCYCQJC
mt,4,7,4096,Abraham Lincoln,Y8RL90U0
mt,4,8,4094,megadv,8G08J8LUR
mt,4,9,4093,coolboy2000,98QCG20
mt,4,10,4089,FJ21,PU9RCVYUG
mt,4,11,4089,Mars,VL9PC009G
mt,4,12,4074,霜竹月影,C0UUQGU9P
mt,4,13,4069,ポグライダー,2JCVCL02G
mt,4,14,4058,まさぼーz,CJJRYR8LP
mt,4,15,4050,Lipton ❤️希望。✨,200P0UPPGR
mt,4,16,4047,baxterpluh.,9VQR9RYQL
mt,4,17,4028,Advit,QPC9Q0902
mt,4,18,4025,Joseph.o.,LPJJ8JCY
mt,4,19,4024,AljeAC ᴮˢᴷ,UQR89U0UG
mt,4,20,4017,Zilo,P0VPL20LY
mt,4,21,4015,Маруан,UC2C8RV2U
mt,4,22,4008,RadioHead^^,29GPJJLUV
mt,4,23,4005,ソラ,802CYRUP2
mt,4,24,3986,mfmfgaupon,2LR8R992L
mt,4,25,3982,Fire_Heart,8P2QU2L2
mt,4,26,3978,レジスタンス,LGY2RJ08U
mt,4,27,3976,mahmud jr,VYY0UP8P2
mt,4,28,3975,☘️ Tatum ☘️,9CL9PRVVV
mt,4,29,3974,FS丨Bossくん❤️龍寶✨,RJRR9UJ
mt,4,30,3973,Aidan,9QVRUU
mt,4,31,3971,Sejati,UL8JRP2CU
mt,4,32,3969,imad,8982292LY
mt,4,33,3969,mr.golem,UQQJ2QLR8
mt,4,34,3967,Ðxāmāið,RUY2JJQVY
mt,4,35,3967,TT: TatumSSJ,20PQ00L028
mt,4,36,3966,Oriel,2YCYQ9GUR
mt,4,37,3963,blddlb,8GLCPJVRY
mt,4,38,3960,싼체르,8RC0V8Q0
mt,4,39,3959,ゴレマイト,9PYRCGPQG
mt,4,40,3958,愛✨️ねこ,LQVC0JU2
mt,4,41,3958,TheJollyOne,8V9L9YL9Q
mt,4,42,3957,lavapaia,8U8GLRUR8
mt,4,43,3954,Kenny,8GCCCQQJ
mt,4,44,3949,ジュンレノン,8J9GCL0L0
mt,4,45,3944,⚡️VeniVidiVici⚡,PYYR0VLGJ
mt,4,46,3943,⚠Artur⚠,99YRQJ8G
mt,4,47,3943,Mystic Mac,LY9CPYGYL
mt,4,48,3942,Shark_JmD,2P2RP29CR
mt,4,49,3941,Luispaghetty,28PYRGUYC
mt,4,50,3940,chincr,20VRPUP902
mt,4,51,3940,你美只因只因,CU99L0VQ8
mt,4,52,3939,GOPの学习分割线✨,UQR2JJ9L9
mt,4,53,3939,りょう,8PJ8Q092Q
mt,4,54,3935,oy0f,200UYYJLVY
mt,4,55,3934,Code: RT,8CLP9GR0
mt,4,56,3933,gxraffe,CUV2GVV2G
mt,4,57,3930,ゆうとと,Q9LRGULJC
mt,4,58,3930,ぴぃ,RR2URP2C8
mt,4,59,3929,Shards,RRPRLJG
mt,4,60,3927,王翦,8C9RP92V0
mt,4,61,3926,REHAB,82PJJR88G
mt,4,62,3923,VIOL2T,LPPVPCRV2
mt,4,63,3921,M. Løvenkrands,LQ9CVLL
mt,4,64,3921,ぺんしょん,9V8YQU2P
mt,4,65,3921,神气猪✨Lewan,88J89CGC2
mt,4,66,3918,Dusk,G2VLR8R
mt,4,67,3918,kenshi,8QQJPLYVL
mt,4,68,3917,まんだりん,98JLQVYVR
mt,4,69,3915,Will the thrill,GVCUPL8
mt,4,70,3914,cam127-wins,290V9LURR
mt,4,71,3914,J°$πU∆,GVPJCLCL2
mt,4,72,3913,時生,9Y9GGCULL
mt,4,73,3913,Kさく,LJYLRYQ99
mt,4,74,3913,numajun,9JQVQ8098
mt,4,75,3913,Tomura™ 是传奇✨,URCCG2R89
mt,4,76,3912,Cheseck^-^,8JUUPG0UQ
mt,4,77,3911,royce,2QPGR08RQ
mt,4,78,3910,BlackEmp,VYQPY0YPL
mt,4,79,3910,haohao,2QCRVGP0
mt,4,80,3909,Akimboh,P0VQGC8Q
mt,4,81,3909,클로,CUVY2VCJ0
mt,4,82,3908,ChickenWings14,8C90YRYG
mt,4,83,3908,cool poo,2RJQVRPU2
mt,4,84,3907,zaid,CLQVC8VC
mt,4,85,3907,rufus,JYRV8Y8V0
mt,4,86,3906,"RSA❤️""Richi$""",VGYRL8P8V
mt,4,87,3906,뿌꾸덕후2,8UPVRQG0L
mt,4,88,3906,WG mfmfgaupon,UYRP909PV
mt,4,89,3905,OG I Teddy,GU8GQGU2
mt,4,90,3904,456er,VJG90JLR
mt,4,91,3902,待機児童,YUCYP9PJ9
mt,4,92,3902,KØRV1N,PQURLGQP8
mt,4,93,3902,I WIN❤YOU LOSE,2Y2V8L0G0
mt,4,94,3901,朔らんぼ,V9CP2VV28
mt,4,95,3900,一介书生π,VVJ8RLQP2
mt,4,96,3900,✨️Melody™️✨️,LQGCL0LQ
mt,4,97,3899,LongStreet,PPJJQC
mt,4,98,3899,OGNrazer,QQGR0VLL
mt,4,99,3897,JP I PEKAZZ21 ⚡,8UGUR8GGU
mt,4,100,3895,SUPREME,9GV8Y829
mt,4,101,3895,Smurfblade,LVJVVR8L
mt,4,102,3895,delico,GRCJJ0Q80
mt,4,103,3894,adam 030,Y9R0YRGJ
mt,4,104,3894,MAD Nikles,JPLVJPVU
mt,4,105,3892,PAİN CR,PGQJQ8GRJ
mt,4,106,3889,三宅ロース_YT,PUVVP8L80
mt,4,107,3889,manu19,22UVRC8PU
mt,4,108,3889,BRAYANMANDA0407,R0GUPPQ8J
mt,4,109,3886,Iggy,2PLGJ2YL2
mt,4,110,3885,鼻の慶次,822QRV0C
mt,4,111,3885,orhan,RR000UJQY
mt,4,112,3884,Kou-m,Y2VJ2UGUC
mt,4,113,3884,a.b,PY0UVUUGP
mt,4,114,3883,CARIOT,Y20CVQRYC
mt,4,115,3882,damn bro,U2R0U9GY2
mt,4,116,3881,romyツ,2GJ9JUVUV
mt,4,117,3881,A2L0E0X8,8RQ29L80C
mt,4,118,3881,freshman slayer,VUQJUPQCR
mt,4,119,3880,JCMDUCKS1,G00P8PPU
mt,4,120,3880,fireZombie,GUJ9Y9UP2
mt,4,121,3879,TiktokSantiagoA,2PU00CCC
mt,4,122,3878,TAP MAM,YR289R9VQ
mt,4,123,3876,alex_vallejo,PYRV9QJ2
mt,4,124,3875,Simon,U020229VR
mt,4,125,3874,Ben,YYRUQCY8
mt,4,126,3873,かど,U2PJUQUU
mt,4,127,3873,ＳＣＨ,9RCGGLY8J
mt,4,128,3869,⚡DANY⚡,Y0CJ8V0P8
mt,4,129,3868,스버럴,JR9C02VRY
mt,4,130,3867,TSWQz,PR8GL2CGU
mt,4,131,3865,Blastarsk,2CRV0Y8
mt,4,132,3865,帅气男孩小杨,C2PU20CRQ
mt,4,133,3863,TrippleM8,CCRVL8P8
mt,4,134,3861,-TheEzequiel-,90R0QPGLP
mt,4,135,3861,HADES,CRQVYQG2L
mt,4,136,3861,Jhosep,CQ0V0Y0CV
mt,4,137,3860,chorizojr7,P2GG8LLJP
mt,4,138,3860,chels,RLG08RVU
mt,4,139,3856,ほうじ茶のソテー,98YPGYLC0
mt,4,140,3855,Jullethelegend,PJQYQVRQ9
mt,4,141,3855,Lex,G80JRRGPY
mt,4,142,3855,Jon LOVES snow,292GQLVJ
mt,4,143,3854,Xambas,JUPVUGJJJ
mt,4,144,3853,Papotto,J90PLR0LL
mt,4,145,3853,dfk,8098JVL2L
mt,4,146,3852,re,LCYV9P8GR
mt,4,147,3852,Faze_Xavier,P28LCCU2C
mt,4,148,3852,Tiesto,CC2VUPQJ
mt,4,149,3851,T@u®oN_e5150,8PYRVGYCL
mt,4,150,3850,heize,8Y2RU0L9Y
mt,4,151,3850,진스터,2GPJ8GC09
mt,4,152,3849,YT OverPower,8JYGVYGPL
mt,4,153,3848,Despo,208Q9U0V9
mt,4,154,3848,bigdaddy69,LJCPJ9PP
mt,4,155,3848,大原,9RJGUYC0
mt,4,156,3846,END,PQLQLVYC
mt,4,157,3845,crab,J2GCR0U8J
mt,4,158,3844,神に与えられた男前｜さめ,QY29P2CQ
mt,4,159,3844,Nezuko,289YCPGP9
mt,4,160,3843,✨EggDuck❣️,VGGRRPGUR
mt,4,161,3842,かか,9VC2GP9LC
mt,4,162,3842,ThA1,JPUU00880
mt,4,163,3841,THIKSEAL,9QR0JLQ22
mt,4,164,3841,심찬,902J2QCRV
mt,4,165,3840,Mr.Pablo,9PC2YP9Q
mt,4,166,3840,hana,UL2Q2JVRQ
mt,4,167,3840,Sergey,RYC9UR09
mt,4,168,3838,الحكيم,20CLJCRCY
mt,4,169,3838,Matador,9PQCL92Q
mt,4,170,3837,KF Svenifishy,2R0CUCC00
mt,4,171,3836,khalid,9YJ8L880Q
mt,4,172,3836,Loong is stupid,GVCCRYPG
mt,4,173,3836,lisan mow gaib,J98LPYRY
mt,4,174,3835,クロロ＝ルシルフル,8C2200VJ2
mt,4,175,3834,MarSo,2CPPJY8Y
mt,4,176,3833,ひゅうと,VLGL0QY0L
mt,4,177,3833,Amor Infinito,2VG8RGJU
mt,4,178,3832,Guti,CCRPG8P
mt,4,179,3832,Oricanboy™,P2002R9R
mt,4,180,3830,뿱뛇띍쮫뀛씛,V9Q982RRQ
mt,4,181,3829,久平路89号,8CUJGYGVP
mt,4,182,3829,Matt Stew,8GUPCC0P
mt,4,183,3828,<c2>方<c4>晨,CRQRPVC29
mt,4,184,3828,euphon.fefe,PCLJU8LL
mt,4,185,3828,Liverpool ❤️,J8JPVJCQ
mt,4,186,3828,Luis,202PUJQPQL
mt,4,187,3827,小鼻涕,UJUPRLJ9P
mt,4,188,3827,MrMarigo,2JLLY0G09
mt,4,189,3827,Oscar,RJ0VUQL8
mt,4,190,3827,Success is me,2G0V8GJ9P
mt,4,191,3826,YIZUZ:),UJJY98RV0
mt,4,192,3825,イヤッホー,98URGPQJQ
mt,4,193,3825,ig: juniors_svz,VGGG0GRR2
mt,4,194,3825,THΣҜΨΠG,Y2LQ9LYUY
mt,4,195,3825,ケイ,VJQ2LYVJG
mt,4,196,3825,かか,2RRYLYUVY
mt,4,197,3825,prince,98U2GL99
mt,4,198,3824,Aurélie,8PGY28RG
mt,4,199,3823,otto,YYCQRGQ8V
mt,4,200,3823,# K O R D E R S,80JCGVJJP
mt,4,201,3822,<KKD:Sun€Hine>,PJ0GUYGUG
mt,4,202,3822,Matko,8Q8YRQYLY
mt,4,203,3821,<c3>VÄLËNZÜËLÅ.,9VGGLGGG
mt,4,204,3821,Oz Gabix™,8CJUGLURY
mt,4,205,3821,PapaGrant,PGP8Y20L
mt,4,206,3820,Ricky Royale YT,VLPLUVC
mt,4,207,3819,Wither723,2UQG898CU
mt,4,208,3819,SARIYEL,2QJLQYPU9
mt,4,209,3818,POWER❤️2.6,9UUUP8J99
mt,4,210,3818,D4RK,8202YRY0R
mt,4,211,3818,Lugia,G02G0YLJP
mt,4,212,3817,BrownSnake000,9RVVY822
mt,4,213,3817,azooz,Y09VUGYU
mt,4,214,3816,Bro,GJJLYLCQ0
mt,4,215,3816,なおき,CU2U2U0UL
mt,4,216,3816,성민쓰,22G0PRJ9Q
mt,4,217,3815,Frænde,RLVCLPC0
mt,4,218,3814,лёша,8LCV8URR
mt,4,219,3813,lolzor,2RCC2YVRJ
mt,4,220,3813,jacksparw,PUYQ8JP8
mt,4,221,3813,Don Ramon,PG0CUQGL
mt,4,222,3813,AK29,CVRR8YPV9
mt,4,223,3812,Sekofie,2JJ09V98
mt,4,224,3812,TheBest,YQUC8ULVL
mt,4,225,3811,MK☯️Bang,L0QCUC8C
mt,4,226,3811,Edo57,8282YRVGR
mt,4,227,3811,Cin2217,98JU0P08L
mt,4,228,3810,Lord Savra,PLP9LG0Y2
mt,4,229,3810,DaniCojanu,80GCC9VV8
mt,4,230,3809,Hunter,20YGGUGU2
mt,4,231,3809,nu2e,V888QLJGJ
mt,4,232,3809,シャルル,V0J299980
mt,4,233,3809,tanzwanne2.0,UU8GUVULP
mt,4,234,3809,rainho123456789,92QVRLL9
mt,4,235,3809,Number8 M,2RL0UPRJP
mt,4,236,3809,coup 2 graf,U0PL0G9VR
mt,4,237,3808,Vaughano,JUQ8LRV0
mt,4,238,3808,DnsAbiMeinGoat,CY22RQCC
mt,4,239,3808,dogalexisperro,GJ8QCVUY8
